"Sample IDs","MPR","MS","TtT","RAF"
"1377_2024.25.MN.058_2",1.13963039014374,0.5722108,48,0.0208333333333333
"1378_2024.25.MN.059_2",1.24177949709865,1.0186976,48,0.0208333333333333
"1379_2024.25.MN.060_2",2.81091617933723,0.662768,42.59375,0.0234776228906823
"1381_2024.25.MN.061_3",1.18498168498168,0.984126933333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.20637898686679,1.10569106666667,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.19373776908023,0.9602088,48,0.0208333333333333
"1384_2024.25.MN.064_3",4.29791271347249,1.41429466666667,45.7166666666667,0.02187386073642
"1385_2024.25.MN.065_3",1.15506958250497,0.861497733333333,48,0.0208333333333333
"1386_2024.25.MN.066_3",3.67678958785249,1.7671728,46.9821428571429,0.0212846826301786
"1387_2024.25.MN.067_3",6.73375262054507,1.52061506666667,31.4078947368421,0.0318391286133222
"1388_2024.25.MN.068_3",1.08906882591093,0.588394,48,0.0208333333333333
"Pos",16.8296296296296,5.38765426666667,23.5284090909091,0.0425018111567254
"Neg",1.24707846410684,1.26210346666667,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.2218045112782,1.07769426666667,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.21730769230769,1.14615386666667,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.27324478178368,1.2093612,48,0.0208333333333333
"1369_2024.25.MN.050_2",6.34094903339192,3.2993556,46.266717325228,0.0216138091875113
"1370_2024.25.MN.051_2",1.20640569395018,1.01304866666667,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.23938223938224,1.04247106666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.25187969924812,1.09523813333333,48,0.0208333333333333
"1373_2024.25.MN.054_2",9.6819012797075,3.7976844,32.8568965517241,0.0304350107572021
"1374_2024.25.MN.055_2",1.26678765880218,1.1131276,48,0.0208333333333333
"1375_2024.25.MN.056_2",1.2256880733945,1.00305813333333,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.26470588235294,1.0441176,48,0.0208333333333333
"1377_2024.25.MN.058_2",16.4180327868852,7.44535506666667,19.9904255319149,0.0500239476345059
"1378_2024.25.MN.059_2",1.2183908045977,0.916986,48,0.0208333333333333
"1379_2024.25.MN.060_2",4.42105263157895,0.982456133333333,26.4308510638298,0.0378345743610384
"1381_2024.25.MN.061_3",1.23908918406072,1.06008853333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.22693726937269,1.0824108,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.21165048543689,1.06148866666667,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.23047619047619,1.08952386666667,48,0.0208333333333333
